				Real	H_100_py	H_100_ex	H_90_py	H_90_ex	H_80_py	H_80_ex	H_70_py	H_70_ex	H_60_py	H_60_ex	H_50_py	H_50_ex	Promedio	Promedio_Ex
50	50	CameraDown	-43.0.png	-43.0	86	86.58	88	88.00	85	85.78	84	84.75	87	87.29	85	85.00	85.83	86.23
51	51	CameraDown	-42.0.png	-42.0	86	86.67	88	88.11	85	85.89	84	84.88	87	87.43	85	85.20	85.83	86.36
52	52	CameraDown	-41.0.png	-41.0	86	86.75	88	88.22	86	86.00	85	85.00	87	87.57	85	85.40	86.17	86.49
53	53	CameraDown	-40.0.png	-40.0	86	86.83	88	88.33	86	86.14	85	85.14	87	87.71	85	85.60	86.17	86.63
55	55	CameraDown	-39.0.png	-39.0	86	86.92	88	88.44	86	86.29	85	85.29	87	87.86	85	85.80	86.17	86.76
56	56	CameraDown	-38.0.png	-38.0	87	87.00	88	88.56	86	86.43	85	85.43	88	88.00	86	86.00	86.67	86.90
57	57	CameraDown	-37.0.png	-37.0	87	87.09	88	88.67	86	86.57	85	85.57	88	88.17	86	86.17	86.67	87.04
58	58	CameraDown	-36.0.png	-36.0	87	87.18	88	88.78	86	86.71	85	85.71	88	88.33	86	86.33	86.67	87.18
59	59	CameraDown	-35.0.png	-35.0	87	87.27	88	88.89	86	86.86	85	85.86	88	88.50	86	86.50	86.67	87.31
60	60	CameraDown	-34.0.png	-34.0	87	87.36	89	89.00	87	87.00	86	86.00	88	88.67	86	86.67	87.17	87.45
61	61	CameraDown	-33.0.png	-33.0	87	87.45	89	89.13	87	87.10	86	86.14	88	88.83	86	86.83	87.17	87.58
62	62	CameraDown	-32.0.png	-32.0	87	87.55	89	89.25	87	87.20	86	86.29	89	89.00	87	87.00	87.50	87.71
63	63	CameraDown	-31.0.png	-31.0	87	87.64	89	89.38	87	87.30	86	86.43	89	89.14	87	87.14	87.50	87.84
64	64	CameraDown	-30.0.png	-30.0	87	87.73	89	89.50	87	87.40	86	86.57	89	89.29	87	87.29	87.50	87.96
65	65	CameraDown	-29.0.png	-29.0	87	87.82	89	89.63	87	87.50	86	86.71	89	89.43	87	87.43	87.50	88.09
66	66	CameraDown	-28.0.png	-28.0	87	87.91	89	89.75	87	87.60	86	86.86	89	89.57	87	87.57	87.50	88.21
67	67	CameraDown	-27.0.png	-27.0	88	88.00	89	89.88	87	87.70	87	87.00	89	89.71	87	87.71	87.83	88.33
68	68	CameraDown	-26.0.png	-26.0	88	88.10	90	90.00	87	87.80	87	87.13	89	89.86	87	87.86	88.00	88.46
69	69	CameraDown	-25.0.png	-25.0	88	88.20	90	90.10	87	87.90	87	87.25	90	90.00	88	88.00	88.33	88.58
70	70	CameraDown	-24.0.png	-24.0	88	88.30	90	90.20	88	88.00	87	87.38	90	90.17	88	88.25	88.50	88.72
71	71	CameraDown	-23.0.png	-23.0	88	88.40	90	90.30	88	88.17	87	87.50	90	90.33	88	88.50	88.50	88.87
72	72	CameraDown	-22.0.png	-22.0	88	88.50	90	90.40	88	88.33	87	87.63	90	90.50	88	88.75	88.50	89.02
73	73	CameraDown	-21.0.png	-21.0	88	88.60	90	90.50	88	88.50	87	87.75	90	90.67	89	89.00	88.67	89.17
74	74	CameraDown	-20.0.png	-20.0	88	88.70	90	90.60	88	88.67	87	87.88	90	90.83	89	89.17	88.67	89.31
76	76	CameraDown	-19.0.png	-19.0	88	88.80	90	90.70	88	88.83	88	88.00	-88	-88.00	89	89.33	59.17	59.61
77	77	CameraDown	-18.0.png	-18.0	88	88.90	90	90.80	89	89.00	88	88.17	-88	-87.83	89	89.50	59.33	59.76
78	78	CameraDown	-17.0.png	-17.0	89	89.00	90	90.90	89	89.11	88	88.33	-88	-87.67	89	89.67	59.50	59.89
79	79	CameraDown	-16.0.png	-16.0	89	89.09	-88	-88.00	89	89.22	88	88.50	-88	-87.50	89	89.83	29.83	30.19
80	80	CameraDown	-15.0.png	-15.0	89	89.18	-88	-87.89	89	89.33	88	88.67	-88	-87.33	90	90.00	30.00	30.33
81	81	CameraDown	-14.0.png	-14.0	89	89.27	-88	-87.78	89	89.44	88	88.83	-88	-87.17	90	90.17	30.00	30.46
