-45	54	58	61				
-40	61	63	66	68			
-35	65	67	70	71			
-30	70	72	72	74	74	82	
-25	74	75	78	77	83	84	82
-20	73	76	82	77	81	82	83
-15	77	79	81	80	83	84	82
-10	84	84		84		87	87
-5	89		-89		88		
0	-90	-89	-89	-89	-89	-88	-90
5	-84	-85		-86	-87	-87	-87
10	-80	-81	-81	-82	-83	-84	-84
15	-75	-77	-79	-80	-81	-81	-81
20	-70	-73	-75	-76	-77	-78	
25	-66	-69	-70	-73	-74		
30	-61	-65	-67	-70			
35	-57		-63	-66			
40	-51	-56	-60				
45	-47	-52	-53	-56			
